Frame,Left,Right,Filler,FillerLength,Count,TextCount,SiteCount,RegionCount,TypeCount,FirstSign,FinalSign,StemMinusFinal,RestAfterInitial,DominantSite,DominantSiteShare,DominantRegion,DominantRegionShare,DominantType,DominantTypeShare,DominantSymbol,DominantSymbolShare,SealPct,CompletePct,Examples
002|<END>,002,<END>,142-740,2,1,1,1,1,1,142,740,142,740,Dholavira,1.0,Gujarat/Kutch,1.0,TAG,1.0,,0.0,0.0,0.0,4348.1/-/Dholavira
002|<END>,002,<END>,150-416,2,1,1,1,1,1,150,416,150,416,Susa,1.0,Iranian Plateau,1.0,SEAL:CY,1.0,Gaur,1.0,1.0,1.0,3882.1/-/Susa
002|<END>,002,<END>,151,1,1,1,1,1,1,151,151,,,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:S,1.0,1.0,0.0,3201.1/M-787/Mohenjo-daro
002|<END>,002,<END>,155-630-740,3,1,1,1,1,1,155,740,155-630,630-740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Buff,1.0,1.0,1.0,2790.1/M-267/Mohenjo-daro
002|<END>,002,<END>,156-061-151,3,1,1,1,1,1,156,151,156-061,061-151,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Zebu,1.0,1.0,1.0,2402.1/M-1901/Mohenjo-daro
002|<END>,002,<END>,156-773-740,3,1,1,1,1,1,156,740,156-773,773-740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,1.0,3194.1/M-780/Mohenjo-daro
002|<END>,002,<END>,168-740-503-390,4,1,1,1,1,1,168,390,168-740-503,740-503-390,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:J,1.0,1.0,1.0,2628.1/M-101/Mohenjo-daro
002|<END>,002,<END>,171-035-740-090,4,1,1,1,1,1,171,090,171-035-740,035-740-090,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1,1.0,1.0,0.0,3247.1/M-835/Mohenjo-daro
002|<END>,002,<END>,175-520,2,1,1,1,1,1,175,520,175,520,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:J,1.0,1.0,1.0,2707.1/M-181/Mohenjo-daro
002|<END>,002,<END>,175-720-740-001-416,5,1,1,1,1,1,175,416,175-720-740-001,720-740-001-416,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:R,1.0,,0.0,1.0,1.0,3574.1/M-1267/Mohenjo-daro
002|<END>,002,<END>,175-740,2,1,1,1,1,1,175,740,175,740,Lothal,1.0,Gujarat/Kutch,1.0,SEAL:R,1.0,,0.0,1.0,0.0,2049.1/L-95/Lothal
002|<END>,002,<END>,175-752-740,3,1,1,1,1,1,175,740,175-752,752-740,Harappa,1.0,Inter-Riverine,1.0,TAB:B,1.0,Phyt,1.0,0.0,1.0,594.2/H-2022/Harappa
002|<END>,002,<END>,175-760-740,3,1,1,1,1,1,175,740,175-760,760-740,Dholavira,1.0,Gujarat/Kutch,1.0,SEAL:S,1.0,Bull1:V,1.0,1.0,0.0,4252.1/-/Dholavira
002|<END>,002,<END>,176,1,1,1,1,1,1,176,176,,,Harappa,1.0,Inter-Riverine,1.0,SEAL:S,1.0,Bull1:U,1.0,1.0,0.0,1452.1/H-464/Harappa
002|<END>,002,<END>,176-151,2,1,1,1,1,1,176,151,176,151,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Gaur,1.0,1.0,1.0,2179.1/M-1880/Mohenjo-daro
002|<END>,002,<END>,176-336-740,3,1,1,1,1,1,176,740,176-336,336-740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,1.0,2562.1/M-34/Mohenjo-daro
002|<END>,002,<END>,176-337-740,3,1,1,1,1,1,176,740,176-337,337-740,Kalibangan,1.0,Inter-Riverine,1.0,SEAL:S,1.0,,0.0,1.0,0.0,1910.1/K-44/Kalibangan
002|<END>,002,<END>,176-415-100-740,4,1,1,1,1,1,176,740,176-415-100,415-100-740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,1.0,2464.1/M-595/Mohenjo-daro
002|<END>,002,<END>,176-455-740,3,1,1,1,1,1,176,740,176-455,455-740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:R,1.0,,0.0,1.0,1.0,3575.1/M-1268/Mohenjo-daro
002|<END>,002,<END>,176-740-090,3,1,1,1,1,1,176,090,176-740,740-090,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,1.0,2543.1/M-15/Mohenjo-daro
002|<END>,002,<END>,176-740-233-388-527,5,1,1,1,1,1,176,527,176-740-233-388,740-233-388-527,Lothal,1.0,Gujarat/Kutch,1.0,SEAL:S,1.0,Gaur,1.0,1.0,1.0,2017.1/L-46/Lothal
002|<END>,002,<END>,190-409,2,1,1,1,1,1,190,409,190,409,Lothal,1.0,Gujarat/Kutch,1.0,SEAL:S,1.0,Bull1,1.0,1.0,1.0,2018.1/L-47/Lothal
