"Sign","TotalTokens","TextCount","SiteCount","RegionCount","TypeCount","DamagedContextTokens","RarityBand","PositionTotal","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","CandidateClasses"
"408","9","9","3","3","7","2","Low6To19","7","4","3","0","0","0.5714","0.4286","0","0","0.4286","Unclassified"
"417","9","9","2","2","2","3","Low6To19","8","0","0","8","0","0","0","1","0","0.6","Unclassified"
"467","9","9","3","3","5","1","Low6To19","8","5","0","3","0","0.625","0","0.375","0","0.1667","Unclassified"
"504","9","9","3","2","2","2","Low6To19","8","0","4","4","0","0","0.5","0.5","0","0.6861","Unclassified"
"597","9","9","1","1","1","3","Low6To19","8","0","0","8","0","0","0","1","0","0.5375","Unclassified"
"746","9","9","3","3","3","5","Low6To19","4","2","0","2","0","0.5","0","0.5","0","0.1833","Unclassified"
"773","9","9","2","2","3","2","Low6To19","9","1","0","8","0","0.1111","0","0.8889","0","0.686","Unclassified"
"812","9","9","4","3","2","4","Low6To19","8","0","1","7","0","0","0.125","0.875","0","0.4001","Unclassified"
"014","8","8","5","4","4","4","Low6To19","6","3","0","3","0","0.5","0","0.5","0","0.1917","Unclassified"
"015","8","8","5","3","5","0","Low6To19","7","4","1","2","0","0.5714","0.1429","0.2857","0","0.3452","Unclassified"
"036","8","8","3","2","3","3","Low6To19","6","3","1","2","0","0.5","0.1667","0.3333","0","0.3413","Unclassified"
"067","8","8","5","3","5","4","Low6To19","4","1","0","3","0","0.25","0","0.75","0","0.4583","Unclassified"
"101","8","8","3","2","4","1","Low6To19","8","2","0","6","0","0.25","0","0.75","0","0.3333","Unclassified"
"155","8","8","3","3","4","3","Low6To19","5","0","3","2","0","0","0.6","0.4","0","0.7667","Unclassified"
"204","8","8","2","2","3","5","Low6To19","4","0","1","3","0","0","0.25","0.75","0","0.4833","Unclassified"
"260","8","8","2","2","1","2","Low6To19","8","5","0","3","0","0.625","0","0.375","0","0.282","Unclassified"
"380","8","8","3","3","3","1","Low6To19","4","3","0","1","0","0.75","0","0.25","0","0.1875","Unclassified"
"422","8","8","3","2","3","2","Low6To19","8","0","6","2","0","0","0.75","0.25","0","0.8125","Unclassified"
"626","8","8","4","3","3","4","Low6To19","5","1","0","4","0","0.2","0","0.8","0","0.36","Unclassified"
"642","8","8","2","2","3","2","Low6To19","6","0","0","6","0","0","0","1","0","0.6889","Unclassified"
"804","8","8","2","2","2","3","Low6To19","7","1","4","2","0","0.1429","0.5714","0.2857","0","0.75","Unclassified"
"808","8","8","3","3","4","4","Low6To19","5","4","1","0","0","0.8","0.2","0","0","0.2","Unclassified"
"849","8","8","4","2","3","7","Low6To19","1","1","0","0","0","1","0","0","0","0","Unclassified"
"930","8","8","2","2","2","6","Low6To19","4","0","3","0","1","0","0.75","0","0.25","0.875","Unclassified"
"006","7","7","5","4","3","2","Low6To19","4","1","0","1","2","0.25","0","0.25","0.5","0.4375","Unclassified"
